楼盘名称,房价(元/平方米),楼盘位置,建成年份,附近地铁站
古田四路3号,暂无,硚口/古田,2001年建成,近地铁1号线古田四路站
长青国际,15940,硚口/古田,2003年建成,无地铁
旌德社区,19035,硚口/汉正街,1995年建成,近地铁6号线汉正街站
左岸美邻,25204,硚口/宗关,2011年建成,近地铁1号线汉西一路站
汉华公寓,22323,硚口/集贤,2000年建成,近地铁6号线武胜路站
汉中街社区,暂无,硚口/集贤,1991年建成,近地铁6号线武胜路站
友谊社区北区,14252,硚口/汉正街,2001年建成,近地铁1号线友谊路站
宝善社区,15368,硚口/汉正街,1996年建成,近地铁6号线汉正街站
财源大厦,21168,硚口/汉正街,2008年建成,近地铁1号线利济北路站
下荣华里社区,19004,硚口/集贤,1995年建成,近地铁6号线武胜路站
汉口人家,18284,硚口/古田,2005年建成,近地铁1号线古田二路站
3604小区,25946,硚口/宝丰崇仁,2000年建成,近地铁1号线太平洋站
集贤雅苑,18578,硚口/集贤,2001年建成,近地铁6号线武胜路站
井岗名苑,暂无,硚口/集贤,2001年建成,近地铁1号线崇仁路站
硚口金利屋,28009,硚口/集贤,2009年建成,近地铁6号线武胜路站
金叶国际,16882,硚口/宝丰崇仁,2006年建成,近地铁1号线硚口路站
荣西社区,17860,硚口/集贤,1998年建成,近地铁1号线利济北路站
金玉华庭,23496,硚口/宝丰崇仁,2005年建成,近地铁1号线硚口路站
金成世家,23299,硚口/汉正街,2005年建成,近地铁6号线汉正街站
同济宝丰小区,29608,硚口/宝丰崇仁,2002年建成,无地铁
汉正街第一大道,13331,硚口/汉正街,2003年建成,近地铁6号线汉正街站
宝丰街站邻园社区,20310,硚口/集贤,2001年建成,近地铁1号线崇仁路站
中御公馆,31044,硚口/宝丰崇仁,2012年建成,近地铁1号线硚口路站
航空小路61到74号,暂无,硚口/宝丰崇仁,1996年建成,近地铁2号线王家墩东站
同馨花园雍豪府,36352,硚口/宝丰崇仁,2014年建成,近地铁1号线崇仁路站
同兴小区,暂无,硚口/宝丰崇仁,1990年建成,近地铁1号线硚口路站
军威小区,暂无,硚口/集贤,1996年建成,近地铁6号线武胜路站
汉华花园,19329,硚口/集贤,2000年建成,近地铁6号线武胜路站
华贸大楼,14239,硚口/汉正街,2000年建成,近地铁6号线汉正街站
城发大厦,11755,硚口/宝丰崇仁,1996年建成,无地铁
新世界汇豪邸,29449,硚口/集贤,2006年建成,近地铁1号线利济北路站
集贤花园,21842,硚口/集贤,2001年建成,近地铁1号线崇仁路站
千禧城,20732,硚口/古田,2017年建成,近地铁1号线古田三路站
万人社区,暂无,硚口/古田,未知年建成,无地铁
新厂一村1号,暂无,硚口/集贤,未知年建成,近地铁6号线武胜路站
崇仁路150号,17066,硚口/集贤,2010年建成,近地铁1号线崇仁路站
长汽宿舍,15705,硚口/古田,2000年建成,近地铁1号线汉西一路站
汉西一路26号,13390,硚口/宗关,2008年建成,近地铁1号线汉西一路站
汉西公寓,19055,硚口/宗关,未知年建成,近地铁3号线宗关站
